mfc1,mfc2,mfc3,mfc4,mfc5,mfc6,mfc7,mfc8,mfc9,mfc10,x1,y1,x2,y2,n,split
0.0295,0.0365,0.0292,0.0172,0.0102,0.0404,0.1131,0.057,0.0207,0.0296,6180.0,4100.0,,,1,train
0.0544,0.0706,0.0589,0.0302,0.0151,0.0708,0.1925,0.1075,0.0361,0.0337,6180.0,4100.0,6430.0,3600.0,2,test
0.0303,0.0407,0.0342,0.0192,0.0112,0.0376,0.0897,0.0587,0.0227,0.0306,6430.0,3600.0,,,1,train
0.0297,0.0414,0.0383,0.0362,0.07,0.0374,0.0905,0.063,0.0459,0.2051,6430.0,3600.0,15180.0,4100.0,2,train
0.0,0.008,0.0091,0.0236,0.0642,0.0,0.0109,0.0125,0.0309,0.1993,15180.0,4100.0,,,1,train
0.0,0.0147,0.0222,0.0335,0.0689,0.01,0.033,0.19,0.0503,0.2029,15180.0,4100.0,8430.0,4850.0,2,train
0.009,0.0158,0.0193,0.0174,0.0118,0.0122,0.0336,0.1847,0.0279,0.0314,8430.0,4850.0,,,1,train
0.0254,0.0497,0.085,0.0465,0.0227,0.0272,0.0652,0.225,0.0533,0.0402,8430.0,4850.0,8180.0,2100.0,2,train
0.0193,0.0391,0.0694,0.0348,0.0168,0.0198,0.0392,0.046,0.032,0.0344,8180.0,2100.0,,,1,train
0.0194,0.0404,0.074,0.0548,0.223,0.0201,0.0406,0.05,0.0473,0.0776,8180.0,2100.0,14930.0,1100.0,2,train
0.0,0.0,0.0062,0.0264,0.2085,0.0,0.0105,0.0094,0.0217,0.0682,14930.0,1100.0,,,1,test
0.0487,0.085,0.0415,0.0358,0.2093,0.0365,0.0474,0.0311,0.0306,0.0705,14930.0,1100.0,5430.0,1600.0,2,train
0.049,0.0845,0.0378,0.0162,0.0,0.0368,0.0468,0.0283,0.0161,0.0282,5430.0,1600.0,,,1,train
0.128,0.1215,0.0529,0.021,0.0,0.1295,0.0907,0.0442,0.0211,0.0284,5430.0,1600.0,1930.0,3350.0,2,train
0.084,0.0431,0.0193,0.0111,0.0,0.0989,0.052,0.0214,0.0119,0.0264,1930.0,3350.0,,,1,train
0.0889,0.0535,0.0443,0.0439,0.0259,0.104,0.0671,0.0708,0.0978,0.049,1930.0,3350.0,10430.0,3850.0,2,train
0.0002,0.0163,0.0295,0.0387,0.0241,0.0105,0.0235,0.0555,0.0926,0.0477,10430.0,3850.0,,,1,train
0.0132,0.0272,0.0542,0.0676,0.0424,0.0161,0.0414,0.1244,0.1832,0.068,10430.0,3850.0,10180.0,4600.0,2,train
0.0104,0.018,0.029,0.0351,0.0222,0.0124,0.0272,0.0753,0.0993,0.0459,10180.0,4600.0,,,1,train
0.0609,0.0468,0.0417,0.0393,0.0233,0.1171,0.0722,0.09,0.1034,0.0467,10180.0,4600.0,2930.0,3850.0,2,train
0.0559,0.0362,0.0178,0.0111,0.0,0.1111,0.0546,0.0216,0.0115,0.0274,2930.0,3850.0,,,1,train
0.0598,0.0446,0.0452,0.1219,0.065,0.1165,0.0641,0.0406,0.0523,0.0585,2930.0,3850.0,11930.0,1600.0,2,train
0.0,0.0143,0.0315,0.1164,0.0625,0.0,0.0166,0.0248,0.0468,0.0575,11930.0,1600.0,,,1,train
0.0185,0.0525,0.1556,0.1355,0.0691,0.0177,0.0339,0.0446,0.0598,0.0632,11930.0,1600.0,7930.0,350.0,2,train
0.0178,0.0464,0.1301,0.0264,0.0123,0.0165,0.0274,0.0275,0.0198,0.0295,7930.0,350.0,,,1,test
0.0476,0.0878,0.1608,0.0392,0.017,0.0495,0.0938,0.0688,0.034,0.0333,7930.0,350.0,6180.0,3100.0,2,train
0.0343,0.0483,0.0369,0.0193,0.0102,0.0391,0.075,0.0479,0.0205,0.0285,6180.0,3100.0,,,1,train
0.0972,0.1405,0.0608,0.0265,0.0124,0.0693,0.1057,0.0647,0.0272,0.0301,6180.0,3100.0,4680.0,850.0,2,test
0.1351,0.0806,0.0341,0.0167,0.0097,0.1194,0.084,0.0367,0.0172,0.0284,3180.0,2600.0,,,1,train
0.1428,0.1057,0.12,0.0598,0.025,0.1265,0.1046,0.0713,0.0457,0.0402,3180.0,2600.0,8930.0,1600.0,2,train
0.011,0.0312,0.0898,0.049,0.0201,0.0127,0.0286,0.0406,0.0346,0.0351,8930.0,1600.0,,,1,test
0.0505,0.1145,0.1315,0.0617,0.0255,0.0407,0.0651,0.0661,0.0462,0.0403,8930.0,1600.0,5930.0,1350.0,2,train
0.0386,0.0871,0.0438,0.0174,0.0089,0.0299,0.0419,0.0298,0.0161,0.0269,5930.0,1350.0,,,1,train
0.0552,0.1181,0.0951,0.046,0.0216,0.0465,0.0813,0.0896,0.0475,0.0383,5930.0,1350.0,8180.0,2850.0,2,train
0.0199,0.0367,0.0543,0.0338,0.0172,0.0217,0.047,0.0655,0.0367,0.0351,8180.0,2850.0,,,1,train
0.0263,0.051,0.093,0.0807,0.0408,0.0283,0.0644,0.1072,0.091,0.057,8180.0,2850.0,10180.0,2850.0,2,test
0.0244,0.0288,0.0464,0.0544,0.0294,0.2962,0.0422,0.0532,0.0626,0.047,10180.0,2850.0,2680.0,5100.0,2,train
0.0172,0.0147,0.0,0.0,0.0,0.286,0.0246,0.0115,0.0,0.0255,2680.0,5100.0,,,1,train
0.0264,0.0347,0.0577,0.0505,0.0252,0.2938,0.0498,0.0675,0.0567,0.0424,2680.0,5100.0,9430.0,2850.0,2,train
0.0138,0.0272,0.0542,0.0493,0.025,0.0125,0.0341,0.0629,0.0555,0.0427,9430.0,2850.0,,,1,train
0.0203,0.0411,0.0863,0.0876,0.0484,0.02,0.055,0.1294,0.1461,0.0678,9430.0,2850.0,10180.0,3850.0,2,train
0.0121,0.0215,0.0377,0.0453,0.0292,0.0121,0.0307,0.0753,0.0988,0.0505,10180.0,3850.0,,,1,train
